name,total_fights,wins,finishes,ko/tko_wins,submisson_wins,decision_wins,win_streak,title_fight_wins,sig_strikes_landed,sig_strikes_attempted,takedowns_landed,takedown_attempted,sig_str_landed,sig_str_absorbed,takedown_avg,submission_avg,sig_str_def,takedown_def,knockdown_avg,avg_fight_time,str_standing,str_clinch,str_ground,str_head,str_body,str_leg,win_rate
Tim Elliot,33,20,9,3,6,11,2,0,791,1786,36,125,3.47,2.76,3.88,0.92,57,60,0.13,12.40,492,142,157,461,162,168,60.61
Muhammad Mokaev,10,10,7,2,5,3,10,0,51,94,22,41,1.14,0.87,7.34,1.34,62,0,0.33,11.14,33,1,17,23,20,8,100
Muin Gafurov,23,18,17,10,7,1,0,0,92,222,5,18,3.07,2.90,2.50,0.00,48,63,0.00,15.00,64,18,10,68,15,9,78.26
Said Nurmagomedov,20,17,9,4,5,8,0,0,258,539,5,30,3.54,2.15,1.03,1.23,57,65,0.21,09.07,189,44,25,140,59,59,85
Warlley Alves,21,15,11,4,7,4,1,0,457,955,8,26,3.21,4.09,1.37,0.95,51,80,0.32,10.09,351,71,35,258,106,93,71.43
Ikram Aliskerov,15,14,10,5,5,4,6,0,27,45,1,3,6.25,7.88,3.47,3.47,40,0,3.47,02.10,25,2,0,14,12,1,93.33
Johnny Walker,28,21,18,16,2,3,3,0,337,599,3,3,3.85,2.58,0.51,1.03,46,60,0.69,07.17,222,37,78,195,36,106,75
Magomed Ankalaev,20,18,10,10,0,8,9,0,485,928,9,31,3.55,2.15,0.99,0.00,59,86,0.66,12.26,316,48,121,312,125,48,90
Khamzat Chimaev,12,12,11,6,5,1,12,0,220,369,4,14,7.30,3.98,3.95,3.49,41,100,1,5.1,91,11,118,192,16,12,100
Paulo Costa,16,14,12,11,1,2,1,0,555,920,3,4,6.50,6.38,0.53,0.00,47,79,0.70,10.40,471,39,45,294,230,31,87.5
Charles Oliveira,43,34,31,10,21,3,1,3,777,1441,26,85,3.54,3.19,2.32,2.73,52,56,0.55,6.52,444,160,173,454,211,112,79.06
Islam Makhachev,25,24,16,4,11,9,12,2,337,569,13,50,2.35,1.27,3.24,1.05,62,91,0.31,10.15,175,67,95,231,91,15,96
Valentina Shevchenko,28,23,15,8,7,8,0,8,942,1793,12,77,3.28,2.11,2.56,0.37,63,71,0.05,17.57,662,87,193,615,126,201,82.142
Amanda Nunes,28,23,17,13,4,6,12,11,975,1881,118,71,4.55,2.62,2.73,0.70,58,82,0.63,10.44,662,52,261,666,126,183,82.142
Jon Jones,28,27,17,10,7,10,13,15,1468,2536,36,97,4.29,2.22,1.93,0.48,64,95,0.22,14.53,958,248,262,689,359,420,96.42
Francis Ngannou,20,17,16,12,4,1,6,2,229,555,50,80,2.33,2.16,0.76,0.31,42,72,1.22,7.01,150,36,43,156,41,32,85
Kamaru Usman,23,20,10,9,1,10,0,6,1334,2554,59,129,4.46,2.75,2.96,0.10,54,97,0.50,17.35,754,235,345,836,390,108,86.95652173913
Alexander Volkanovski,28,26,16,13,3,12,1,6,1508,2642,16,79,6.25,3.36,1.86,0.19,59,69,0.37,17.14,1110,140,258,951,165,392,92.85
Khabib Nurmagomedov,29,29,19,8,11,10,29,4,705,1444,49,127,4.10,1.75,5.32,0.79,65,85,0.17,13.13,298,27,380,604,65,36,100
Jiri Prochazka,34,29,26,25,1,3,0,1,260,467,2,4,5.31,5.17,0.61,0.31,40,68,0.61,12.15,205,11,44,214,38,8,85.2941176471
Alex Pereira,11,9,7,7,0,2,2,2,392,632,1,1,5.00,3.65,0.19,0.38,51,70,0.57,11.12,323,54,15,166,128,98,81.8181818182
Shamil Abdurakhimov,28,20,13,9,4,7,0,0,251,567,5,30,2.41,3.02,1.01,0.14,55,45,0.29,09.27,169,60,22,149,47,55,71.4285714286
Jailton Almeida,22,20,19,7,12,1,15,0,154,237,19,34,2.78,0.52,5.14,2.43,43,75,0.00,07.55,9,3,142,143,8,3,90.9090909091
Derrick Lewis,39,27,22,22,0,5,0,0,617,1219,9,34,2.43,2.48,0.53,0.00,41,53,0.53,09.05,243,109,265,486,102,29,69.2307692308
Marcos Rogerio De Lima,32,21,17,14,3,4,0,0,403,711,10,21,3.61,2.96,1.34,0.54,52,59,0.81,06.12,288,36,79,226,65,112,65.625
Waldo Cortes Acosta,11,10,6,5,1,4,1,0,360,720,0,0,6.97,4.06,0.00,0.00,52,60,0.58,10.20,329,21,10,270,65,25,90.9090909091
Sean O'Malley,18,17,12,12,0,5,5,1,761,1245,3,7,7.25,3.51,0.43,0.43,62,63,1.14,08.45,708,18,35,541,151,69,94.4444444444
Aljamanin Sterling,27,23,11,3,8,12,0,4,1186,2262,33,136,4.73,2.41,1.97,0.78,58,45,0.00,13.12,784,180,222,582,390,214,85.1851851852
Henry Cejudo,19,16,8,8,0,8,0,4,682,1442,19,70,3.93,3.15,2.07,0.17,61,83,0.43,13.21,436,145,101,371,213,98,84.2105263158
Tj Dillashaw,23,18,11,8,3,7,0,1,1123,2732,21,75,5.09,3.47,1.56,0.82,62,78,0.61,12.16,820,113,190,748,163,212,78.2608695652
Demetrious Johnson,31,27,13,2,11,14,2,13,1291,2362,74,149,3.43,1.66,3.35,0.52,67,66,0.16,17.56,726,400,165,586,400,305,87.0967741935
Wilson Reis,33,23,10,0,10,13,0,0,271,917,43,119,1.83,3.04,5.15,0.61,56,47,0.00,11.25,182,37,52,152,35,84,69.696969697
Alexandre Pantoja,31,26,18,8,10,8,4,1,641,1333,3,38,4.41,3.81,1.75,1.03,52,67,0.41,11.11,519,72,50,426,131,84,83.8709677419
Brandon Moreno,30,21,16,5,11,5,0,3,887,2057,12,59,3.80,3.40,1.73,0.51,56,64,0.26,15.34,753,49,85,690,125,72,70
Leon Edwards,24,21,10,7,3,11,2,2,734,1375,22,66,2.80,2.40,1.26,0.34,54,69,0.29,16.24,549,100,85,423,169,142,87.5
Nate Diaz,35,22,18,5,13,4,1,0,1694,3746,27,85,4.57,3.77,1.05,1.29,53,42,0.16,11.35,1165,365,164,1272,271,151,62.8571428571
Tony Ferguson,35,26,21,13,8,5,0,0,1260,2782,6,20,4.98,4.26,0.42,0.95,56,67,0.18,11.29,1149,31,80,761,235,264,74.2857142857
Conor McGregor,28,22,20,19,1,2,0,2,599,1204,5,9,5.32,4.66,0.67,0.13,54,67,1.73,08.02,461,61,77,419,102,78,78.5714285714
Dustin Poirier,37,29,21,15,6,8,0,1,1696,3332,24,76,5.49,4.30,1.36,1.21,54,64,0.63,09.58,1277,255,164,1359,159,178,78.3783783784
Justin Gaetjhe,30,26,20,20,0,6,2,0,861,1429,1,4,7.35,7.50,0.13,0.00,54,75,0.77,09.46,746,101,14,542,81,238,86.6666666667
Rafael Fiziev,15,12,9,8,1,3,0,0,515,997,2,5,4.90,4.97,0.29,0.00,49,89,0.29,11.41,461,50,4,232,191,92,80
Michael Chandler,31,23,18,11,7,5,0,0,339,730,10,26,4.89,4.58,2.17,0.87,46,71,0.65,07.44,218,21,100,240,64,35,74.193548387
Dan Hooker,35,23,18,11,7,5,2,0,1066,2182,13,32,5.08,4.76,0.79,0.36,51,81,0.64,09.59,907,93,66,666,176,224,65.7142857143
Jalin Turner,20,13,13,9,4,0,0,0,481,991,5,9,5.82,4.61,0.91,1.27,41,76,1.09,07.31,352,51,78,325,134,22,65
Sean Strickland,33,28,15,11,4,13,3,1,1714,4091,11,28,5.82,4.24,0.92,0.20,63,84,0.31,14.43,1539,72,103,1401,223,90,84.8484848485
Abus Magomedov,32,25,20,14,6,5,0,0,92,215,1,2,3.73,5.36,0.61,0.00,55,100,0.61,08.13,88,2,2,46,31,15,78.125
Caio Borralho,16,15,8,4,4,7,14,0,228,389,12,19,2.73,1.98,2.16,0.54,61,57,0.36,11.55,146,34,48,135,62,31,93.75
Michael Oleksiejczuk,25,19,15,14,1,4,1,0,406,799,4,9,5.12,4.17,0.76,0.00,62,48,1.32,06.37,319,20,67,275,122,9,76
Chidi Njokuani,32,22,15,14,1,7,0,3,232,382,0,0,4.04,3.19,0.00,0.26,53,68,0.78,08.12,123,70,39,98,100,34,68.75
Albert Duraev,21,16,12,3,9,4,0,0,159,393,7,24,2.99,3.01,1.97,0.56,60,67,0.00,10.39,115,1,43,98,18,43,76.1904761905
Junyong Park,22,17,11,5,6,6,4,0,493,961,14,28,4.94,3.66,2.10,1.20,54,70,0.15,11.05,407,43,43,404,42,47,77.2727272727
Denis Tiuliulin,20,11,9,9,0,2,0,0,144,343,0,2,4.50,6.15,0.00,0.00,36,73,0.94,06.24,118,20,6,106,32,6,55
Greorgy Rodrigues,19,14,12,9,3,2,1,0,337,607,9,18,5.99,5.67,2.40,0.53,51,100,1.07,07.02,271,34,32,257,69,11,73.6842105263
Julian Marquez,13,9,9,6,3,0,0,0,311,692,0,6,4.86,4.99,0.00,2.58,51,53,0.47,09.08,198,67,46,243,50,18,69.2307692308
Marc-Andre Barriault,22,16,11,10,1,5,2,0,736,1554,2,8,5.95,5.22,0.24,0.12,54,67,0.36,11.15,461,209,66,543,130,63,72.7272727273
Eryk Anders,23,15,10,9,1,5,0,0,692,1454,20,83,3.56,4.39,1.54,0.08,50,80,0.54,12.09,412,172,108,473,180,39,65.2173913043
Kyle Daukaus,15,11,9,0,9,2,0,0,250,473,9,43,3.22,2.94,2.12,1.93,42,83,0.00,09.43,159,35,56,180,41,29,73.3333333333
Roman Dolidze,14,12,10,7,3,2,0,0,238,540,9,18,3.02,3.01,1.72,1.72,55,33,0.76,09.50,186,23,29,157,38,43,85.7142857143
Jack Hermansson,31,23,17,11,6,6,0,0,878,1988,19,64,5.13,3.69,1.66,0.44,55,75,0.00,10.42,654,70,154,484,186,208,74.1935483871
Chris Curtis,40,30,18,17,1,12,0,0,450,894,0,0,5.36,6.30,0.00,0.00,54,92,0.72,10.29,406,27,17,297,120,33,75
Nassorudine Imamov,16,12,9,5,4,3,1,0,437,824,7,22,4.55,3.76,1.09,1.72,59,73,0.00,13.44,316,80,41,289,96,52,75
Joaquin Buckley,23,17,12,12,0,5,2,0,424,1278,7,30,3.87,3.31,1.51,0.00,58,65,0.96,09.58,369,28,27,224,146,54,73.9130434783
Alex Morono,32,23,13,6,7,10,0,0,1108,2661,5,22,5.02,4.17,0.34,0.34,58,50,0.34,11.36,965,90,53,887,148,73,71.875
Andre Fialho,24,16,14,13,1,2,0,0,202,486,1,1,3.30,6.26,0.25,0.00,46,67,0.49,08.44,165,32,5,140,39,23,66.6666666667
Tim Means,49,33,25,20,5,8,1,0,1445,2938,22,52,2.10,3.65,1.16,0.16,60,65,0.58,10.08,1106,200,139,882,402,161,67.3469387755
